name,pop,lat,lon
San Francisco-Oakland-Hayward,27360.0,37.6687665,-122.0809964
San Jose-Sunnyvale-Santa Clara,29144.0,37.36883,-122.0363496
San Luis Obispo-Paso Robles-Arroyo Grande,309.0,35.6368759,-120.6545022
Santa Cruz-Watsonville,401.0,36.910231,-121.7568946
Santa Maria-Santa Barbara,520.0,34.9530337,-120.4357191
Santa Rosa,763.0,38.440429,-122.7140548
Scranton--Wilkes-Barre--Hazleton,212.0,41.2459149,-75.88130749999999
Seattle-Tacoma-Bellevue,15554.0,47.6061031,-122.3320534
Spokane-Spokane Valley,82.0,47.6732281,-117.2393748
Springfield,516.0,39.78172130000001,-89.6501481
Springfield,90.0,37.2089572,-93.29229889999999
State College,165.0,40.7933949,-77.8600012
Stockton-Lodi,1477.0,38.1157766,-121.2696713
Syracuse,62.0,43.0481221,-76.14742439999999
Tampa-St. Petersburg-Clearwater,1029.0,28.274347,-82.38857829999999
Toledo,277.0,41.6528052,-83.5378674
Trenton,390.0,40.2205824,-74.759717
Tucson,869.0,32.2226066,-110.9747108
Urban Honolulu,1699.0,21.3069444,-157.8583333
Utica-Rome,44.0,43.100903,-75.232664
Vallejo-Fairfield,376.0,38.1040864,-122.2566367
Virginia Beach-Norfolk-Newport News,664.0,36.8507689,-76.28587259999999
Washington-Arlington-Alexandria,10616.0,39.1289725,-77.3783789
Wichita,285.0,37.68717609999999,-97.33005299999999
Winston-Salem,205.0,36.09985959999999,-80.244216
Worcester,185.0,42.2625932,-71.8022934
Yakima,95.0,46.6020711,-120.5058987
York-Hanover,299.0,39.8006553,-76.9830358
Youngstown-Warren-Boardman,199.0,41.291972,-80.54384499999999
